# STATION: 009HI
# STATION NAME: Mamalahoa
# LATITUDE: 19.80300
# LONGITUDE: -155.85100
# ELEVATION [ft]: 1978.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,precip_accum_five_minute_set_1,soil_moisture_set_1,volt_set_1,net_radiation_set_1,net_radiation_sw_set_1,net_radiation_lw_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Millimeters,%,volts,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
009HI,2024-01-16T00:25:00Z,22.867,69.07,1.101,315.2,700.66,0.0,33.8,,482.47,616.2,-133.73,84.02,354.88,488.11,,NW,,16.87
009HI,2024-01-16T00:30:00Z,23.217,67.61,1.019,304.8,692.37,0.0,33.8,13.28,473.64,608.78,-135.14,83.72,355.25,489.99,,NW,,16.87
009HI,2024-01-16T00:35:00Z,23.061,68.66,0.792,322.9,681.53,0.0,33.7,,465.74,598.94,-133.2,82.65,356.52,489.17,,NW,,16.97
009HI,2024-01-16T00:40:00Z,23.094,67.9,1.338,343.6,676.92,0.0,33.7,13.28,464.33,595.22,-130.89,81.8,356.09,486.58,,NNW,,16.82
009HI,2024-01-16T00:45:00Z,22.956,68.88,1.353,341.7,669.11,0.0,33.6,,456.55,587.97,-131.42,81.32,354.71,485.62,,NNW,,16.92
009HI,2024-01-16T00:50:00Z,22.839,69.04,0.952,316.2,643.37,0.0,33.5,13.29,432.7,564.22,-131.52,79.26,354.86,485.7,,NW,,16.84
009HI,2024-01-16T00:55:00Z,23.106,68.14,1.168,354.2,626.36,0.0,33.4,,417.45,549.07,-131.61,77.29,354.1,484.74,,N,,16.89
009HI,2024-01-16T01:00:00Z,22.722,69.31,1.662,355.5,603.02,0.0,33.4,13.32,401.87,529.74,-127.88,73.64,352.81,480.27,,N,,16.79
009HI,2024-01-16T01:05:00Z,22.622,70.42,1.765,321.2,604.31,0.0,33.3,,402.62,528.92,-126.3,75.33,353.45,479.28,,NW,,16.95
009HI,2024-01-16T01:10:00Z,22.594,71.24,0.854,324.5,584.57,0.0,33.3,13.32,384.0,510.92,-126.92,73.69,354.7,481.06,,NW,,17.1
009HI,2024-01-16T01:15:00Z,22.944,69.28,1.26,339.0,568.44,0.0,33.3,,370.46,496.67,-126.21,71.73,354.55,480.48,,NNW,,17.0
009HI,2024-01-16T01:20:00Z,22.672,69.22,1.744,352.5,554.32,0.0,33.2,13.34,360.29,484.45,-124.16,69.94,352.28,475.88,,N,,16.72
009HI,2024-01-16T01:25:00Z,22.5,71.18,1.512,348.1,546.67,0.0,33.2,,354.18,476.89,-122.71,69.73,354.84,477.04,,NNW,,17.0
009HI,2024-01-16T01:30:00Z,22.867,69.89,1.08,335.3,527.66,0.0,33.2,13.34,336.07,459.26,-123.19,68.2,355.37,478.11,,NNW,,17.06
009HI,2024-01-16T01:35:00Z,22.672,70.52,1.224,320.9,474.85,0.0,33.2,,291.04,411.74,-120.7,61.08,352.97,472.86,,NW,,17.02
009HI,2024-01-16T01:40:00Z,22.556,71.31,1.368,349.8,511.57,0.0,33.1,13.34,325.5,444.2,-118.7,67.34,355.76,473.72,,N,,17.08
009HI,2024-01-16T01:45:00Z,22.567,71.35,1.147,333.0,362.71,0.0,33.1,,203.64,316.85,-113.21,46.48,354.45,466.96,,NNW,,17.1
009HI,2024-01-16T01:50:00Z,22.256,72.19,1.497,328.5,247.98,0.0,33.1,13.5,104.55,215.06,-110.51,30.43,350.12,460.09,,NNW,,16.99
009HI,2024-01-16T01:55:00Z,21.733,74.41,0.705,321.2,356.43,0.0,33.1,,204.92,310.09,-105.17,47.54,353.86,458.15,,NW,,16.96
009HI,2024-01-16T02:00:00Z,22.372,73.26,1.091,340.2,366.46,0.0,33.1,13.38,211.93,316.41,-104.47,48.76,362.51,466.62,,NNW,,17.33
009HI,2024-01-16T02:05:00Z,21.778,74.49,1.374,310.2,274.5,0.0,33.1,,140.45,240.41,-99.96,35.57,353.69,453.01,,NW,,17.02
009HI,2024-01-16T02:10:00Z,21.722,75.32,1.363,330.6,452.48,0.0,33.1,13.36,291.71,389.88,-98.17,62.65,364.73,462.64,,NNW,,17.14
009HI,2024-01-16T02:15:00Z,21.511,75.96,1.348,331.8,261.2,0.0,33.0,,129.21,225.67,-96.46,34.48,358.38,454.39,,NNW,,17.07
009HI,2024-01-16T02:20:00Z,21.411,77.03,1.147,332.3,343.81,0.0,33.0,13.38,216.3,296.36,-80.06,46.33,377.31,456.68,,NNW,,17.2
009HI,2024-01-16T02:25:00Z,21.75,76.17,0.849,0.59,414.25,0.0,33.0,,273.6,357.18,-83.58,58.41,379.39,462.37,,N,,17.35
009HI,2024-01-16T02:30:00Z,21.839,75.63,0.962,7.48,363.63,0.0,33.0,13.34,228.23,312.65,-84.41,51.08,377.24,460.87,,N,,17.32
009HI,2024-01-16T02:35:00Z,21.917,75.68,0.941,341.8,267.21,0.0,33.0,,148.02,232.14,-84.13,35.12,372.24,455.89,,NNW,,17.41
009HI,2024-01-16T02:40:00Z,21.772,76.76,0.7,321.9,350.51,0.0,33.0,13.37,218.78,303.03,-84.26,47.73,374.53,458.26,,NW,,17.49
009HI,2024-01-16T02:45:00Z,21.811,76.58,1.389,342.6,292.79,0.0,33.0,,160.85,253.52,-92.67,38.52,361.43,453.62,,NNW,,17.49
009HI,2024-01-16T02:50:00Z,21.75,77.3,0.952,345.6,262.74,0.0,33.0,13.36,133.6,228.62,-95.02,34.36,356.94,451.39,,NNW,,17.58
009HI,2024-01-16T02:55:00Z,21.783,77.12,0.911,328.7,241.12,0.0,33.0,,110.63,208.87,-98.24,31.89,351.13,449.04,,NNW,,17.58
009HI,2024-01-16T03:00:00Z,21.7,77.42,0.921,320.9,149.87,0.0,33.0,13.38,25.06,123.2,-98.14,26.38,348.32,446.04,,NW,,17.56
009HI,2024-01-16T03:05:00Z,21.539,78.13,0.89,334.5,112.81,0.0,32.9,,-2.88,93.57,-96.45,18.87,346.8,442.44,,NNW,,17.55
009HI,2024-01-16T03:10:00Z,21.272,79.07,1.245,326.1,63.76,0.0,32.9,13.46,-39.59,55.64,-95.23,7.93,342.87,437.27,,NW,,17.48
009HI,2024-01-16T03:15:00Z,20.85,81.05,0.947,341.1,56.1,0.0,32.9,,-43.72,49.2,-92.92,7.14,341.74,433.87,,NNW,,17.46
009HI,2024-01-16T03:20:00Z,20.756,81.67,0.309,325.8,55.61,0.0,32.9,13.35,-44.04,47.71,-91.76,7.66,341.92,433.08,,NW,,17.49
009HI,2024-01-16T03:25:00Z,20.683,81.92,0.257,337.9,28.24,0.0,32.9,,-63.73,25.87,-89.6,2.37,340.7,429.69,,NNW,,17.47
009HI,2024-01-16T03:30:00Z,20.583,82.3,0.036,310.8,24.58,0.0,32.9,13.16,-65.32,22.53,-87.86,2.02,339.98,427.28,,NW,,17.44
009HI,2024-01-16T03:35:00Z,20.417,82.52,0.494,327.7,24.42,0.0,32.9,,-64.97,22.2,-87.17,2.26,339.73,426.33,,NNW,,17.32
009HI,2024-01-16T03:40:00Z,20.339,82.52,0.607,0.15,31.84,0.0,32.9,13.13,-57.98,28.31,-86.29,3.51,340.3,426.0,,N,,17.25
009HI,2024-01-16T03:45:00Z,20.317,82.83,0.365,327.4,17.31,0.0,32.9,,-69.06,15.7,-84.75,1.58,340.46,424.58,,NNW,,17.28
009HI,2024-01-16T03:50:00Z,20.211,83.22,0.19,349.7,12.93,0.0,32.9,13.08,-70.1,11.7,-81.8,1.21,341.69,422.87,,N,,17.26
009HI,2024-01-16T03:55:00Z,20.117,83.67,0.211,326.8,9.91,0.0,32.9,,-69.61,8.89,-78.5,0.99,343.31,421.09,,NNW,,17.25
009HI,2024-01-16T04:00:00Z,19.983,84.39,0.288,332.9,7.54,0.0,32.9,13.0,-52.63,6.71,-59.34,0.82,362.63,421.27,,NNW,,17.25
009HI,2024-01-16T04:05:00Z,19.883,84.83,0.0,,4.85,0.0,32.9,,-34.53,4.24,-38.78,0.59,383.76,421.77,,,,17.24
009HI,2024-01-16T04:10:00Z,19.817,85.15,0.175,332.0,2.56,0.0,32.9,12.97,-28.6,2.16,-30.76,0.39,392.53,422.48,,NNW,,17.23
009HI,2024-01-16T04:15:00Z,19.8,85.67,0.201,25.0,1.13,0.0,32.9,,-16.77,0.88,-17.65,0.24,406.91,423.74,,NNE,,17.31
009HI,2024-01-16T04:20:00Z,19.789,85.93,0.021,349.8,0.43,0.0,32.9,12.95,-16.46,0.28,-16.74,0.15,408.13,424.06,,N,,17.35
009HI,2024-01-16T04:25:00Z,19.772,86.16,0.134,16.76,0.0,0.0,32.9,,-23.38,-0.14,-23.24,0.1,401.4,423.73,,NNE,,17.38
009HI,2024-01-16T04:30:00Z,19.728,86.41,0.386,68.76,0.0,0.0,32.9,12.94,-38.8,-0.48,-38.33,0.08,385.22,422.65,,ENE,,17.38
009HI,2024-01-16T04:35:00Z,19.644,86.65,0.35,49.7,0.0,0.0,32.9,,-55.58,-0.84,-54.75,0.06,366.56,420.48,,NE,,17.34
009HI,2024-01-16T04:40:00Z,19.539,86.8,0.304,20.73,0.0,0.0,32.9,12.93,-54.8,-0.79,-54.02,0.08,366.28,419.4,,NNE,,17.27
009HI,2024-01-16T04:45:00Z,19.406,86.75,0.211,86.8,0.0,0.0,32.9,,-62.16,-0.89,-61.27,0.09,357.69,418.15,,E,,17.13
009HI,2024-01-16T04:50:00Z,19.294,86.42,0.401,85.6,0.0,0.0,32.9,12.92,-73.06,-1.01,-72.05,0.1,345.26,416.44,,E,,16.96
009HI,2024-01-16T04:55:00Z,19.2,86.16,0.118,84.7,0.0,0.0,32.9,,-75.89,-1.11,-74.78,0.09,340.54,414.51,,E,,16.82
009HI,2024-01-16T05:00:00Z,19.083,86.14,0.159,83.8,0.0,0.0,32.9,12.91,-75.69,-1.12,-74.58,0.1,339.09,412.73,,E,,16.7
009HI,2024-01-16T05:05:00Z,18.983,86.28,0.257,108.3,0.0,0.0,32.9,,-77.47,-1.03,-76.44,0.09,336.16,411.79,,ESE,,16.62
009HI,2024-01-16T05:10:00Z,18.911,86.54,0.514,98.8,0.0,0.0,32.9,12.91,-78.33,-1.01,-77.33,0.14,335.56,412.05,,E,,16.6
009HI,2024-01-16T05:15:00Z,18.894,86.68,0.55,94.9,0.0,0.0,32.9,,-78.41,-1.1,-77.32,0.15,335.23,411.66,,E,,16.61
009HI,2024-01-16T05:20:00Z,18.844,86.65,0.314,104.2,0.0,0.0,32.9,12.9,-77.21,-1.02,-76.19,0.08,334.93,410.26,,ESE,,16.55
009HI,2024-01-16T05:25:00Z,18.756,86.71,0.154,84.7,0.0,0.0,32.9,,-76.15,-1.06,-75.08,0.08,334.64,408.91,,E,,16.48
009HI,2024-01-16T05:30:00Z,18.583,86.9,0.134,109.5,0.0,0.0,32.9,12.89,-75.22,-1.02,-74.2,0.06,334.06,407.54,,ESE,,16.34
009HI,2024-01-16T05:35:00Z,18.467,87.31,0.201,102.3,0.0,0.0,32.9,,-74.55,-1.0,-73.55,0.06,333.73,406.59,,ESE,,16.3
009HI,2024-01-16T05:40:00Z,18.339,87.58,0.026,127.6,0.0,0.0,32.9,12.89,-74.02,-1.04,-72.99,0.09,333.35,405.68,,SE,,16.23
009HI,2024-01-16T05:45:00Z,18.306,88.03,0.123,78.21,0.0,0.0,32.9,,-73.2,-0.95,-72.26,0.1,333.56,405.15,,ENE,,16.27
009HI,2024-01-16T05:50:00Z,18.167,87.9,0.144,156.2,0.0,0.0,32.9,12.88,-72.92,-0.95,-71.97,0.06,332.78,403.99,,SSE,,16.11
009HI,2024-01-16T05:55:00Z,17.772,88.25,0.211,160.7,0.0,0.0,32.9,,-72.54,-0.9,-71.64,0.03,331.88,402.75,,SSE,,15.79
009HI,2024-01-16T06:00:00Z,17.472,88.91,0.201,160.3,0.0,0.0,32.9,12.87,-71.15,-0.83,-70.32,0.03,332.09,401.41,,SSE,,15.61
009HI,2024-01-16T06:05:00Z,17.272,89.55,0.0,,0.0,0.0,32.9,,-69.11,-0.77,-68.34,0.05,332.92,400.35,,,,15.52
009HI,2024-01-16T06:10:00Z,17.072,89.88,0.139,188.5,0.0,0.0,32.9,12.87,-68.5,-0.71,-67.79,0.05,333.08,399.96,,S,,15.38
009HI,2024-01-16T06:15:00Z,16.861,90.35,0.278,117.3,0.0,0.0,32.9,,-67.2,-0.72,-66.47,0.04,333.55,399.08,,ESE,,15.26
009HI,2024-01-16T06:20:00Z,16.722,90.9,0.386,113.8,0.0,0.0,32.9,12.86,-62.11,-0.68,-61.43,0.05,338.36,398.76,,ESE,,15.22
009HI,2024-01-16T06:25:00Z,16.728,91.6,0.453,109.5,0.0,0.0,32.9,,-33.96,-0.37,-33.58,0.06,368.11,400.78,,ESE,,15.34
009HI,2024-01-16T06:30:00Z,16.817,,0.304,109.0,0.0,0.0,32.9,12.86,-30.37,-0.36,-30.01,0.04,373.12,402.12,,ESE,,
009HI,2024-01-16T06:35:00Z,16.956,92.28,0.206,93.4,0.0,0.0,32.9,,-22.77,-0.4,-22.37,0.06,382.01,403.35,,E,,15.68
009HI,2024-01-16T06:40:00Z,16.972,92.16,0.005,108.3,0.0,0.0,32.9,12.85,-20.35,-0.47,-19.88,0.03,385.28,404.17,,ESE,,15.68
009HI,2024-01-16T06:45:00Z,16.95,92.28,0.062,108.5,0.0,0.0,32.9,,-19.38,-0.49,-18.89,0.03,386.68,404.64,,ESE,,15.68
009HI,2024-01-16T06:50:00Z,16.989,92.48,0.381,102.4,0.0,0.0,32.9,12.85,-19.77,-0.5,-19.27,0.04,386.93,405.41,,ESE,,15.75
009HI,2024-01-16T06:55:00Z,17.067,92.48,0.257,103.8,0.0,0.0,32.9,,-19.1,-0.39,-18.7,0.03,387.81,405.81,,ESE,,15.83
009HI,2024-01-16T07:00:00Z,17.122,92.44,0.098,126.6,0.0,0.0,32.9,12.84,-19.19,-0.29,-18.9,0.02,387.8,406.0,,SE,,15.88
009HI,2024-01-16T07:05:00Z,17.133,92.4,0.412,119.0,0.0,0.0,32.9,,-16.56,-0.22,-16.34,0.0,390.89,406.45,,ESE,,15.88
009HI,2024-01-16T07:10:00Z,17.3,92.67,0.535,105.7,0.0,0.0,32.9,12.84,-36.32,-0.47,-35.85,0.04,371.51,406.47,,ESE,,16.09
009HI,2024-01-16T07:15:00Z,17.361,92.3,0.237,137.9,0.0,0.0,32.9,,-64.05,-0.85,-63.2,0.01,341.35,403.77,,SE,,16.09
009HI,2024-01-16T07:20:00Z,17.283,92.13,0.273,84.7,0.0,0.0,32.9,12.84,-69.61,-0.92,-68.69,0.04,333.72,401.72,,E,,15.98
009HI,2024-01-16T07:25:00Z,17.194,92.1,0.381,93.2,0.0,0.0,32.9,,-70.08,-0.93,-69.15,0.02,331.83,400.25,,E,,15.89
009HI,2024-01-16T07:30:00Z,17.039,91.86,0.386,136.5,0.0,0.0,32.9,12.84,-69.64,-0.9,-68.73,0.02,331.38,399.29,,SE,,15.69
009HI,2024-01-16T07:35:00Z,16.856,92.07,0.514,156.4,0.0,0.0,32.9,,-67.46,-0.78,-66.68,0.01,333.33,399.14,,SSE,,15.55
009HI,2024-01-16T07:40:00Z,16.706,92.33,0.36,135.6,0.0,0.0,32.9,12.83,-58.95,-0.7,-58.25,0.02,340.87,398.38,,SE,,15.45
009HI,2024-01-16T07:45:00Z,16.844,93.25,0.592,115.8,0.0,0.0,32.9,,-45.63,-0.47,-45.16,0.1,356.63,400.92,,ESE,,15.74
009HI,2024-01-16T07:50:00Z,17.222,93.56,0.453,116.9,0.0,0.0,32.9,12.83,-63.4,-0.68,-62.72,0.09,339.65,401.6,,ESE,,16.17
009HI,2024-01-16T07:55:00Z,17.389,93.34,0.581,115.1,0.0,0.0,32.9,,-64.87,-0.68,-64.19,0.06,338.17,401.64,,ESE,,16.29
009HI,2024-01-16T08:00:00Z,17.533,93.24,1.302,147.6,0.0,0.0,32.9,12.82,-69.52,-0.81,-68.71,0.15,337.04,404.98,,SSE,,16.42
009HI,2024-01-16T08:05:00Z,17.711,92.54,1.399,167.8,0.0,0.0,32.9,,-72.14,-1.2,-70.94,0.12,335.81,405.87,,SSE,,16.48
009HI,2024-01-16T08:10:00Z,17.689,91.74,1.374,176.0,0.0,0.0,32.8,12.82,-72.78,-1.21,-71.58,0.04,334.4,405.08,,S,,16.32
009HI,2024-01-16T08:15:00Z,17.594,91.3,0.602,150.8,0.0,0.0,32.9,,-70.45,-1.05,-69.4,0.01,334.76,403.34,,SSE,,16.15
009HI,2024-01-16T08:20:00Z,17.456,91.17,0.53,155.0,0.0,0.0,32.8,12.82,-64.47,-0.87,-63.59,0.0,339.5,402.22,,SSE,,15.99
009HI,2024-01-16T08:25:00Z,17.394,91.2,0.381,138.2,0.0,0.0,32.9,,-63.78,-0.82,-62.96,0.0,339.31,401.43,,SE,,15.93
009HI,2024-01-16T08:30:00Z,17.489,91.44,0.72,156.5,0.0,0.0,32.9,12.81,-53.57,-0.66,-52.91,0.04,351.53,403.64,,SSE,,16.07
009HI,2024-01-16T08:35:00Z,17.606,91.16,0.622,161.5,0.0,0.0,32.9,,-41.89,-0.49,-41.4,0.0,363.5,404.05,,SSE,,16.14
009HI,2024-01-16T08:40:00Z,17.544,91.19,0.437,141.9,0.0,0.0,32.8,12.81,-24.6,-0.25,-24.35,0.0,380.15,403.79,,SE,,16.08
009HI,2024-01-16T08:45:00Z,17.611,91.27,0.329,125.5,0.0,0.0,32.9,,-20.98,-0.18,-20.8,0.0,384.97,404.85,,SE,,16.16
009HI,2024-01-16T08:50:00Z,17.55,91.15,0.062,120.5,0.0,0.0,32.8,12.81,-24.84,-0.28,-24.55,0.0,380.43,404.17,,ESE,,16.08
009HI,2024-01-16T08:55:00Z,17.472,91.23,0.221,97.8,0.0,0.0,32.8,,-23.1,-0.27,-22.83,0.0,381.93,403.93,,E,,16.01
009HI,2024-01-16T09:00:00Z,17.467,91.24,0.468,100.0,0.0,0.0,32.9,12.8,-17.39,-0.16,-17.23,0.0,388.38,404.79,,E,,16.01
009HI,2024-01-16T09:05:00Z,17.433,91.14,0.026,89.8,0.0,0.0,32.8,,-15.35,-0.14,-15.21,0.0,390.68,405.06,,E,,15.96
009HI,2024-01-16T09:10:00Z,17.461,91.16,0.0,,0.0,0.0,32.8,12.8,-10.48,-0.08,-10.4,0.0,395.74,405.33,,,,15.99
009HI,2024-01-16T09:15:00Z,17.433,91.08,0.0,,0.0,0.0,32.9,,-17.12,-0.16,-16.96,0.0,389.05,405.06,,,,15.95
009HI,2024-01-16T09:20:00Z,17.35,90.94,0.098,88.4,0.0,0.0,32.8,12.8,-31.7,-0.39,-31.31,0.0,373.23,403.65,,E,,15.84
009HI,2024-01-16T09:25:00Z,17.239,91.05,0.139,113.0,0.0,0.0,32.8,,-42.01,-0.54,-41.47,0.0,361.56,402.13,,ESE,,15.75
009HI,2024-01-16T09:30:00Z,17.167,91.27,0.581,147.0,0.0,0.0,32.8,12.79,-60.59,-0.72,-59.86,0.0,342.97,401.81,,SSE,,15.72
009HI,2024-01-16T09:35:00Z,17.117,91.2,0.586,142.0,0.0,0.0,32.8,,-70.82,-0.84,-69.98,0.0,331.25,400.42,,SE,,15.66
009HI,2024-01-16T09:40:00Z,17.05,91.18,0.473,146.8,0.0,0.0,32.8,12.78,-71.06,-0.88,-70.18,0.0,329.69,399.2,,SSE,,15.59
009HI,2024-01-16T09:45:00Z,16.906,91.11,0.304,109.2,0.0,0.0,32.8,,-70.4,-0.86,-69.54,0.0,328.45,397.25,,ESE,,15.43
009HI,2024-01-16T09:50:00Z,16.722,91.16,0.381,133.9,0.0,0.0,32.8,12.77,-69.16,-0.83,-68.33,0.0,328.4,395.92,,SE,,15.26
009HI,2024-01-16T09:55:00Z,16.5,91.42,0.417,123.7,0.0,0.0,32.8,,-68.42,-0.78,-67.64,0.0,328.16,394.89,,ESE,,15.09
