# STATION: 007HI
# STATION NAME: Laupahoehoe
# LATITUDE: 19.93200
# LONGITUDE: -155.29100
# ELEVATION [ft]: 3776.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
007HI,2024-01-15T13:20:00Z,14.256,49.0,1.374,152.2,0.0,,,0.0,,,,12.28,0.39,0.0,0.0,,SSE,,3.61
007HI,2024-01-15T13:25:00Z,14.294,57.48,0.216,145.3,0.0,,,0.0,,,,,0.73,0.0,0.0,,SE,,5.94
007HI,2024-01-15T13:30:00Z,14.428,59.14,0.324,159.9,0.0,,,0.0,,,,12.27,0.68,0.0,0.0,,SSE,,6.49
007HI,2024-01-15T13:35:00Z,14.322,48.55,0.139,193.4,0.0,,,0.0,,,,,0.74,0.0,0.0,,SSW,,3.54
007HI,2024-01-15T13:40:00Z,14.25,62.77,0.453,5.62,0.0,,,0.0,,,,12.27,1.16,0.0,0.0,,N,,7.19
007HI,2024-01-15T13:45:00Z,13.8,82.61,0.314,22.85,0.0,,,0.0,,,,,0.0,0.0,0.0,,NNE,,10.86
007HI,2024-01-15T13:50:00Z,13.428,88.13,0.005,21.43,0.0,,,0.0,,,,12.16,0.07,0.0,0.0,,NNE,,11.48
007HI,2024-01-15T13:55:00Z,13.128,90.21,0.036,36.96,0.0,,,0.0,,,,,0.05,0.0,0.0,,NE,,11.54
007HI,2024-01-15T14:00:00Z,12.906,91.45,0.139,164.0,0.0,,,0.0,,,,12.2,0.0,0.0,0.0,,SSE,,11.53
007HI,2024-01-15T14:05:00Z,12.606,87.39,0.324,215.5,0.0,,,0.0,,,,,0.08,0.0,0.0,,SW,,10.55
007HI,2024-01-15T14:10:00Z,11.917,68.67,0.448,156.2,0.0,,,0.0,,,,12.23,0.11,0.0,0.0,,SSE,,6.28
007HI,2024-01-15T14:15:00Z,12.256,66.24,0.761,131.2,0.0,,,0.0,,,,,0.24,0.0,0.0,,SE,,6.08
007HI,2024-01-15T14:20:00Z,12.689,74.57,0.021,138.8,0.0,,,0.0,,,,12.24,0.59,0.0,0.0,,SE,,8.24
007HI,2024-01-15T14:25:00Z,12.633,74.29,0.231,167.7,0.0,,,0.0,,,,,0.37,0.0,0.0,,SSE,,8.13
007HI,2024-01-15T14:30:00Z,12.539,80.14,0.808,162.9,0.0,,,0.0,,,,12.24,0.29,0.0,0.0,,SSE,,9.17
